functional_ingredient_name,category_main,category_sub,claim_text,source,confidence,notes,categories_json
보이차추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
복분자 추출물(RE-20),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
복분자 추출물(RE-20)(기능성원료인정제2021-2호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
복분자추출물(RE-20),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
복분자추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
블랙라즈베리 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
블랙커민추출물(FJ),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
비수리추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
비즈왁스알코올,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
비파엽추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
빌베리 추출물(기능성원료인정제2018-2호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
빌베리주정추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
빌베리추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
뽕나무가지주정추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
사군자추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
사삼추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
사탕수수왁스알코올(폴리코사놀),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
사프란추출물(AffronR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
산딸기·왕느릅나무·치자추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
산수유추출물등복합물(리베스틴®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
살라시아레티큘라타추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
삼백초추출물(LHF618),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
삽주추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
상엽추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
상추추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
상황버섯등 추출복합물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
새싹보리추출물(Rexcliver®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
서목태(쥐눈이콩)펩타이드,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
서목태추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
섬쑥부쟁이추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
세리포리아 락세라타 균사체 배양물,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
소나무껍질추출물등복합물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
솔잎 증류 농축액,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
솔잎 증류 농축액(기능성원료인정제2012-30호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
솔잎증류농축액,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
솔잎증류농축액(기능성원료인정제2007-8호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
쇠비름주정추출분말(KDC16-2),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
수국잎열수추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
수국잎열수추출물(기능성원료인정제2020-8호),기타,,,I0050,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
수국잎열수추출물(리세린지®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
수용화 코큐텐 분말 ALL-Q,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
스페인감초추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
스피루리나원말,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
스피루리나추출물(SM70EE),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
시서스추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
식물스타놀 에스테르,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
식물스타놀에스테르,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
쌀겨추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
쏘우팔메토열매추출물(SAW PALMETTO EXTRACT OIL),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
쑥부쟁이 추출 분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
쑥부쟁이추출분말,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
씨제이 히비스커스 등 복합추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
아마인,기타,,,official,0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
아쉬아간다 추출물,기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
아쉬아간다 추출물(ShodenR),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
아쉬아간다추출물(KSM-66®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
아쉬아간다추출물(Sensoril®),기타,,,"official, rule",0.25,명확한 기능성 문구를 찾지 못해 기타로 분류,[]
